"Rule ID","Description","Help","Help URL","Impact","Manual","Needs Review","IGT","Selector","Summary","Source Code","Tags","Found By","Test Title","Test URL","Share URL","Created At","Screenshot URL"
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","["".btn-default""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" class=""btn btn-default btn-lg""><i class=""fa fa-search""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","[""button[onclick=\""wishlist.add('43');\""]""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" data-toggle=""tooltip"" title="""" onclick=""wishlist.add('43');"" data-original-title=""Add to Wish List""><i class=""fa fa-heart""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","[""button[onclick=\""compare.add('43');\""]""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" data-toggle=""tooltip"" title="""" onclick=""compare.add('43');"" data-original-title=""Compare this Product""><i class=""fa fa-exchange""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","[""button[onclick=\""wishlist.add('40');\""]""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" data-toggle=""tooltip"" title="""" onclick=""wishlist.add('40');"" data-original-title=""Add to Wish List""><i class=""fa fa-heart""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","[""button[onclick=\""compare.add('40');\""]""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" data-toggle=""tooltip"" title="""" onclick=""compare.add('40');"" data-original-title=""Compare this Product""><i class=""fa fa-exchange""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","[""button[onclick=\""wishlist.add('42');\""]""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" data-toggle=""tooltip"" title="""" onclick=""wishlist.add('42');"" data-original-title=""Add to Wish List""><i class=""fa fa-heart""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","[""button[onclick=\""compare.add('42');\""]""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" data-toggle=""tooltip"" title="""" onclick=""compare.add('42');"" data-original-title=""Compare this Product""><i class=""fa fa-exchange""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","[""button[onclick=\""wishlist.add('30');\""]""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" data-toggle=""tooltip"" title="""" onclick=""wishlist.add('30');"" data-original-title=""Add to Wish List""><i class=""fa fa-heart""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"button-name","Ensure buttons have discernible text","Buttons must have discernible text","https://dequeuniversity.com/rules/axe/4.10/button-name?application=AxeChrome","critical","No","No","","[""button[onclick=\""compare.add('30');\""]""]","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has an empty title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button type=""button"" data-toggle=""tooltip"" title="""" onclick=""compare.add('30');"" data-original-title=""Compare this Product""><i class=""fa fa-exchange""></i></button>","cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
"color-contrast","Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","["".btn-link.btn.dropdown-toggle > .hidden-xs.hidden-sm.hidden-md""]","Fix any of the following:
  Element has insufficient color contrast of 3.05 (foreground color: #888888, background color: #eeeeee, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1","<span class=""hidden-xs hidden-sm hidden-md"">Currency</span>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","sivakandasamyv@gmail.com",,"https://tutorialsninja.com/demo/","","2025-04-11T05:28:37.312Z",""
